Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,1.2699999809265137,1.2799999713897705,1.1799999475479126,1.25,1.25,6111900
2023-01-04,1.2599999904632568,1.2799999713897705,1.2100000381469727,1.2400000095367432,1.2400000095367432,5432900
2023-01-05,1.2000000476837158,1.2100000381469727,1.1399999856948853,1.1699999570846558,1.1699999570846558,5614200
2023-01-06,1.100000023841858,1.159999966621399,1.0800000429153442,1.090000033378601,1.090000033378601,7369000
2023-01-09,1.1100000143051147,1.1299999952316284,1.0700000524520874,1.0800000429153442,1.0800000429153442,10109900
2023-01-10,1.100000023841858,1.1100000143051147,1.0700000524520874,1.100000023841858,1.100000023841858,4980100
2023-01-11,1.1100000143051147,1.2200000286102295,1.100000023841858,1.190000057220459,1.190000057220459,8739200
2023-01-12,1.190000057220459,1.309999942779541,1.159999966621399,1.2999999523162842,1.2999999523162842,8883700
2023-01-13,1.25,1.3700000047683716,1.25,1.340000033378601,1.340000033378601,7869200
2023-01-17,1.350000023841858,1.3799999952316284,1.2799999713897705,1.3300000429153442,1.3300000429153442,6821000
2023-01-18,1.3300000429153442,1.350000023841858,1.2799999713897705,1.3200000524520874,1.3200000524520874,6248500
2023-01-19,1.2799999713897705,1.2899999618530273,1.2100000381469727,1.2699999809265137,1.2699999809265137,3960200
2023-01-20,1.2899999618530273,1.2999999523162842,1.2300000190734863,1.2400000095367432,1.2400000095367432,6873900
2023-01-23,1.25,1.340000033378601,1.2200000286102295,1.3300000429153442,1.3300000429153442,9975100
2023-01-24,1.309999942779541,1.350000023841858,1.2599999904632568,1.2699999809265137,1.2699999809265137,5216900
2023-01-25,1.399999976158142,1.409999966621399,1.2400000095367432,1.25,1.25,33446200
2023-01-26,1.2899999618530273,1.2999999523162842,1.1399999856948853,1.190000057220459,1.190000057220459,22207200
2023-01-27,1.1699999570846558,1.4700000286102295,1.149999976158142,1.3799999952316284,1.3799999952316284,35545100
2023-01-30,1.3200000524520874,1.3200000524520874,1.2200000286102295,1.2200000286102295,1.2200000286102295,17329200
2023-01-31,1.2300000190734863,1.2400000095367432,1.190000057220459,1.2000000476837158,1.2000000476837158,12016300
